"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","churn_month","last_month","user_status","lifetime_in_month"
"RiIlY436bXNX8MIW9vUaAQ==","game 3","2022-09-01 00:00:00+00","79.08","uk",1,18,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"DAMO0tILVRlXZhYONdvs0Q==","game 3","2022-08-01 00:00:00+00","48.21","uk","",15,"2022-06-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"qmZRB16NnnCdNHWUcSyVDQ==","game 3","2022-09-01 00:00:00+00","16.98","ru","",37,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"AuJNw7SH8b7lM4j46bNr8A==","game 3","2022-11-01 00:00:00+00","122.97","en","",28,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"PzG6g7FMYUPp0RMvXhfesQ==","game 3","2022-12-01 00:00:00+00","15.9","uk","",34,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"nPrRQwP3UZo2KBlM2mJ8fg==","game 3","2022-11-01 00:00:00+00","15.21","uk","",24,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","9"
"qEF/fPDQLJPXIx6RiSIP1A==","game 3","2022-11-01 00:00:00+00","29.85","uk","",20,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"cOCixiBbcAHemYgbNdoTcw==","game 3","2022-12-01 00:00:00+00","15.39","uk","",20,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"5n2VR2SS79K3vJ0/V2A8RQ==","game 3","2022-08-01 00:00:00+00","47.13","ru","",27,"2022-08-01 00:00:00+00","2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","new","2"
"o55dseByUOl9s5IQCz1kuQ==","game 3","2022-07-01 00:00:00+00","15.03","uk","",22,"2022-03-01 00:00:00+00","2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"WMcncRFNp4e91e/Y3CwEvQ==","game 3","2022-07-01 00:00:00+00","14.04","uk","",23,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","6"
"Z7/6qvk8WKH3uR6IMYlCxw==","game 3","2022-09-01 00:00:00+00","29.67","uk","",30,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"TamEW7rhOwxDSDgAWZHDnQ==","game 3","2022-11-01 00:00:00+00","43.68","uk","",23,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","3"
"K/6KHxREKTlFZXRfBNVNuQ==","game 3","2022-06-01 00:00:00+00","14.64","ru","",19,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"nfIwLLLuemHymdg1HYidrA==","game 3","2022-12-01 00:00:00+00","13.92","uk","",19,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","3"
"7EPlnA7OQ9MhMx+od6FA9g==","game 3","2022-04-01 00:00:00+00","114.15","ru","",23,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"WMcncRFNp4e91e/Y3CwEvQ==","game 3","2022-08-01 00:00:00+00","41.16","uk","",23,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"B4b6v6eUHvAVOeAQk6EEiw==","game 3","2022-04-01 00:00:00+00","63.60","ru","",23,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"Grpkzd4XIHh+ZbTMNxnUGg==","game 3","2022-06-01 00:00:00+00","14.49","ru","",30,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"q8UcdT1sZCl07AqhDVz5ZA==","game 3","2022-08-01 00:00:00+00","115.14","uk","",15,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","5"
"Veep00i4vvZbTAVD6GMoiA==","game 3","2022-04-01 00:00:00+00","48.33","uk","",38,"2022-03-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","9"
"K/6KHxREKTlFZXRfBNVNuQ==","game 3","2022-07-01 00:00:00+00","38.07","ru","",19,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"crKNTIblJ0113SKEtSJQHw==","game 3","2022-10-01 00:00:00+00","21.24","uk","",16,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"RQBsCvxlogTNUidSygqgcQ==","game 3","2022-06-01 00:00:00+00","17.07","uk","",28,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"Vn7Z6/B2x4f/w8R6xVfw5w==","game 3","2022-09-01 00:00:00+00","72.54","uk","",18,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"RQBsCvxlogTNUidSygqgcQ==","game 3","2022-05-01 00:00:00+00","12.18","uk","",28,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new","7"
"m7Hk77dySHBbxrKgro1Hjg==","game 3","2022-11-01 00:00:00+00","13.89","uk","",30,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","5"
"An7gG7hfETivAjfokQv3Ww==","game 3","2022-09-01 00:00:00+00","47.52","uk","",23,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"nPrRQwP3UZo2KBlM2mJ8fg==","game 3","2022-04-01 00:00:00+00","31.68","uk","",24,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","9"
"Wua5DlzLb2yNeSrcG9Xi3g==","game 3","2022-09-01 00:00:00+00","17.67","uk","",23,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"W6fRYNhsTNHQkvkoFEUaVQ==","game 3","2022-06-01 00:00:00+00","55.02","uk","",16,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"mEqQ5vHXzsdrqHAQT3zs+g==","game 3","2022-12-01 00:00:00+00","14.88","uk",1,25,"2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","2"
"jVhb69DTRT5TSWYEiUrlbg==","game 3","2022-04-01 00:00:00+00","58.44","uk","",20,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
